Necessidade a ser atendida;Transversal;Público alvo;Unidades organizacionais;UF;Enfoque do desenvolvimento;Competência associada;Quantidade prevista de servidores;Área temática – Sistema Estruturante do Poder Executivo Federal;Modalidade;Tipo de aprendizagem;Especificação do tipo de aprendizagem;Título;Carga horária individual prevista;Término previsto;Ação gratuita;Custo individual previsto;A necessidade pode ser atendida pela Escola de Governo do meu Órgão
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, fiscalização e execução de contratos, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;75;Comunicação;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Aplicação de penalidades administrativas;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Sim;Servidores que atuem nos setores de compras e licitações, ordenamento de despesas e administração;IFPR;PR;Aprimoramento Técnico;Representação Institucional;75;Comunicação;A distância;Evento de Capacitação;;Dispensa e inexigibilidade de licitação;00:00;2020;;0;Sim
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;10;Transparência e controle social;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de atualização das normas de desempenho nas construções de acordo com a ABNT NBR 1557/2013;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Representação Institucional;3;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de parametrização de rele de proteção Pextron URP 7104T aplicados em cabines primárias - Proteção e seletividade;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;4;Correição;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de Composição de Preços de Serviços de Conservação e Restauro;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;5;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de Eficiência Energética em Edifícios Públicos;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;5;Administração financeira;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de Conforto Térmico nas Edificações;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Técnica/Específica do cargo;8;Transparência e controle social;A distância, Presencial, Semipresencial;Evento de Capacitação;Curso;Curso de aprendizagem da ferramenta de informática Autodesk Revit 2019;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem na Diretoria de Infraestrutura;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;5;Transparência e controle social;A distância, Presencial, Semipresencial;Evento de Capacitação;;Curso de acessibilidade nas edificações, conforme NBR 9050 E NBR 16537;00:00;2020;;0;Não
Promover e assegurar a formação continuada dos docentes e técnicos administrativos em educação.;Não;Servidores que atuem nos setores de Folha de Pagamento.;IFPR;PR;Aprimoramento Técnico;Relacionamento interpessoal;5;Controle Interno;A distância, Presencial, Semipresencial;Evento de Capacitação;;Curso de Cálculos em Folha de Pagamento no Setor Público;00:00;2020;;0;Não
